n_actions,sigma,arm,bias,bias_se,gamble,collapsed
2,0.0,Vanilla DQN,1.698926091194708e-05,1.4085169029672212e-05,0.0,0
2,0.0,Double DQN,-0.00010659933090209407,7.106847053899341e-05,0.0,0
2,0.25,Vanilla DQN,0.0026991280913353007,0.004364447238389322,0.0,0
2,0.25,Double DQN,-0.0016385401040315579,0.003109259085592893,0.0,0
2,0.5,Vanilla DQN,0.011056953892111782,0.008266287057297044,0.0,0
2,0.5,Double DQN,0.0003221911936998409,0.006515757994821874,0.0,0
2,1.0,Vanilla DQN,0.018391814194619664,0.014146350090515415,0.1,0
2,1.0,Double DQN,-0.014060794524848454,0.015770332338428474,0.02,0
2,2.0,Vanilla DQN,0.036685344129800804,0.03804505348464798,0.38,0
2,2.0,Double DQN,0.0001806683465838524,0.04157998558993551,0.19,0
5,0.0,Vanilla DQN,0.0008602356910705622,0.00036438369806413235,0.0,0
5,0.0,Double DQN,-9.743213653563898e-05,0.00010550492821541,0.0,0
5,0.25,Vanilla DQN,0.029186975844204432,0.008534173985641989,0.0,0
5,0.25,Double DQN,0.00041237942874431944,0.006586083303834735,0.0,0
5,0.5,Vanilla DQN,0.03634890930727125,0.01231396800928925,0.12,0
5,0.5,Double DQN,-0.003098779581487178,0.01281709551304049,0.0,0
5,1.0,Vanilla DQN,0.05601048458367588,0.01664346052256852,0.43,0
5,1.0,Double DQN,0.028609476387500766,0.022191901911538643,0.11000000000000001,0
5,2.0,Vanilla DQN,0.0981419093348086,0.028079252437817715,0.5599999999999999,0
5,2.0,Double DQN,0.023681854046881213,0.023581031209286684,0.22999999999999998,0
10,0.0,Vanilla DQN,0.0007624171674251612,0.0006869864181648548,0.0,0
10,0.0,Double DQN,-0.00014078453183173577,0.00011404388730131633,0.0,0
10,0.25,Vanilla DQN,0.048424160294234755,0.0022824478494534325,0.11000000000000001,0
10,0.25,Double DQN,0.01129482708871365,0.006035769494480374,0.0,0
10,0.5,Vanilla DQN,0.0650917167030275,0.010815191792147434,0.36,0
10,0.5,Double DQN,0.02066565301269293,0.008476646919925647,0.06,0
10,1.0,Vanilla DQN,0.08081295076757672,0.007841457664076864,0.48,0
10,1.0,Double DQN,0.024991574957966806,0.013370201907067359,0.16999999999999998,0
10,2.0,Vanilla DQN,0.13920396352186798,0.03501949347306523,0.68,0
10,2.0,Double DQN,0.06451506402343513,0.03010173600284021,0.37,0
20,0.0,Vanilla DQN,0.002116628810763365,0.0007843737041258819,0.0,0
20,0.0,Double DQN,0.00019280113279820045,0.00018175636836009306,0.0,0
20,0.25,Vanilla DQN,0.05396037776023151,0.004723853426026454,0.18,0
20,0.25,Double DQN,0.009989325460046532,0.007454259963178814,0.01,0
20,0.5,Vanilla DQN,0.07272484846413138,0.005214666763618832,0.4,0
20,0.5,Double DQN,0.01875267043709755,0.007661150729117033,0.03,0
20,1.0,Vanilla DQN,0.11968006193637848,0.014007625410587232,0.75,0
20,1.0,Double DQN,0.04907056574709713,0.011682466213467612,0.27999999999999997,0
20,2.0,Vanilla DQN,0.21409592900425195,0.02870481028085102,0.95,0
20,2.0,Double DQN,0.06599968753755094,0.030701676607457276,0.42000000000000004,0
50,0.0,Vanilla DQN,0.009599179029464727,0.002002664872021456,0.0,0
50,0.0,Double DQN,-0.00034247949719428463,0.0004657979902796405,0.0,0
50,0.25,Vanilla DQN,0.06882634183391931,0.007055876985011682,0.34,0
50,0.25,Double DQN,0.03400563581846655,0.0023830950407847653,0.0,0
50,0.5,Vanilla DQN,0.11636340143159034,0.004320086805284465,0.9,0
50,0.5,Double DQN,0.042696005832403905,0.0030885089393885576,0.11000000000000001,0
50,1.0,Vanilla DQN,0.18058066111057997,0.02497121048133304,0.9400000000000001,0
50,1.0,Double DQN,0.07801293609663847,0.014574047483805188,0.51,0
50,2.0,Vanilla DQN,0.33008718311786645,0.03028311015488361,1.0,0
50,2.0,Double DQN,0.13977442105300725,0.031647336888738865,0.8300000000000001,0
